0,1,2,3,4,5
Limon,958409818309570562,2018-01-30 18:41:21,"Link habere değil, sitenin anasayfasına çıkıyor. Video haberin anlattığı: İtalya'da bir postacı, mektupları adresle… https://t.co/brlvHCyasT",9,1
Limon,943596284497326080,2017-12-20 21:37:40,#SONDAKIKA Gaziantep'te boş binada patlama https://t.co/qHvnjq3d7c https://t.co/RYsFQujeJL,3,2
Limon,998879175762210816,2018-05-22 10:52:08,CHP'de milletvekili adayları listesinde en genç ve yaşlı aday o ilde https://t.co/jsrChG7tZL https://t.co/oNZVUN66jW,1,0
Limon,938074009576640512,2017-12-05 15:54:07,#SONDAKİKA Van'da deprem https://t.co/LqdW7GnNBl https://t.co/ueaGosk9SM,11,4
Limon,979414510338494464,2018-03-29 17:46:30,Boş ofiste yüzlerce sinek gördü... Hemen polisi aradı https://t.co/qQZhNq0b7r https://t.co/lFwxRyxKLY,2,2
Limon,878338075721641984,2017-06-23 19:44:50,Maden suyu zararlı mı? https://t.co/tayCMcKOfi https://t.co/0mr7smxzrh,10,4
Limon,825041687516950528,2017-01-27 18:04:01,"2 rektör ""Evet"" kampanyasına katıldı https://t.co/JL97W1JgZ3 https://t.co/DwvDM6SNnW",3,7
Limon,1124694767143665664,2019-05-04 15:18:22,"Başörtülü kadın spor salonuna alınmadı, açıklama bu oldu: Batman ve rahibeler kabul edilmiyor… https://t.co/A6aeJvs6Nm",36,6
Limon,976200478022406144,2018-03-20 20:55:05,2005'ten beri yavaş yavaş büyüyor... Türkiye'yi saran büyük tehlike https://t.co/wQzsZWrrxJ https://t.co/nq7BZI4IJf,16,9
Limon,863764201470296064,2017-05-14 14:33:28,Limanda kaza: Konteyner gemisi yan yattı https://t.co/ViEXQAikSe https://t.co/WGyFB0rGGe,12,6
Limon,969564044158959616,2018-03-02 13:24:16,İstanbul için önemli uyarı: Yarına dikkat! https://t.co/aa1OB058O8 https://t.co/NpXDL2wuh0,8,5
Limon,938336813718097920,2017-12-06 09:18:24,Fırın ve bakallarda satılması yasaklandı! https://t.co/MlqX55czFA https://t.co/G1JMxtN7Ud,10,3
Limon,868143251420839937,2017-05-26 16:34:15,Enes Ünal'ın yeni takımı belli oldu https://t.co/rTXrUFJJ10 https://t.co/qybyPNhU88,2,1
Limon,1168081055603187712,2019-09-01 08:40:00,Kuran kursunda iğrenç olay! Bir öğrenci polise gidince ortaya çıktı&gt;&gt;&gt;https://t.co/QK0EYgTb8x https://t.co/zGbtXbbwfv,10,7
Limon,1189829771825438720,2019-10-31 09:01:38,Herkesi ilgilendiriyor! Süt alırken buna dikkat https://t.co/5DxPjfgvCI https://t.co/ShZtNzRWRw,0,1
Limon,836825051479617537,2017-03-01 06:26:54,Moody's'ten Avrupa bankalarıyla ilgili kritik açıklama https://t.co/IGFfBCV940 https://t.co/DZ9cj7v9JO,3,0
Limon,819216081743183874,2017-01-11 16:15:08,Güney Kore dünyayı uyardı https://t.co/WYFXiFWDtv https://t.co/D7dzxNERkT,19,14
Limon,878994632759226368,2017-06-25 15:13:46,Erdoğan rahatsızlandı...      https://t.co/zw1q5ZtW9w https://t.co/k1wbxBDDcr,3,1
Limon,1182947837044240384,2019-10-12 09:15:17,Sinema dünyasının acı kaybı: Usta oyuncu hayatını kaybetti https://t.co/DVNANgcP9D https://t.co/aWgd66RbDE,2,0
Limon,838309236279029760,2017-03-05 08:44:31,40 yaşında sünnet kıyafeti giydi! İşte nedeni... https://t.co/5h0wKa9SXb https://t.co/dIKWvEfYqv,7,5
Limon,1073239549181079552,2018-12-13 15:33:43,#FLAŞ O ilde eğitime kar engeli https://t.co/ac3DqteSMX https://t.co/DpQabmG7ys,0,0
Limon,930469730577801216,2017-11-14 16:17:25,Tok karnına yüzmek zararlı mı? https://t.co/iDaFJxppjm https://t.co/ip6ZmOTsLd,10,7
Limon,1023461317343170560,2018-07-29 06:52:47,E-devlet'te yeni dönem bugün başladı https://t.co/R4FWZ0nV9P https://t.co/iHewwIkSHf,6,0
Limon,1017429990705696768,2018-07-12 15:26:27,"‘Takım elbiseyi giydik, yine ceza aldık’ dedi, ceketini yere fırlattı https://t.co/6x5qJ2dy55 https://t.co/OdmgGgXWFy",8,1
Limon,911973977819623424,2017-09-24 15:21:54,#SONDAKİKA: İstanbul Büyükşehir Belediye Başkanlığı için seçim yapılacak gün belli oldu https://t.co/w0pJINi8VX https://t.co/C6jEKpXkIm,13,4
Limon,1065290430340886529,2018-11-21 17:06:45,"İstanbul'da Unkapanı, Galata ve Haliç metro köprüleri trafiğe kapatılacak! https://t.co/sSV59iiQV5 https://t.co/UgWPbs38Bk",8,3
Limon,982533619699929088,2018-04-07 08:20:44,Galatasaray'da flaş gelişme! Ayrılık zamanı... https://t.co/l5drjkFsen https://t.co/dfaW7i45fv,18,2
Limon,1096820958759915521,2019-02-16 17:17:49,İklim değişikliği okyanusların renginin de değişmesine sebep olacak https://t.co/djZRi2Eers https://t.co/jx9UtZaZU3,10,3
Limon,807906984783736833,2016-12-11 11:16:50,Bursa'da tehlikeli gerginlik! https://t.co/taXH1MN9vB https://t.co/Bg29YlsusQ,10,7
Limon,1079035562789687296,2018-12-29 15:25:00,Doğu Anadolu'nun en büyük ikinci gölü dondu https://t.co/YDGADreGH8 https://t.co/FwsVYSPzpY,73,13
Limon,793753284855103488,2016-11-02 09:55:04,İşte Fetullahçı örgütün Twitter'daki fenomen hesapları https://t.co/2YUv7MDCXM https://t.co/GTa1TIGQsK,10,4
Limon,1097918739457155074,2019-02-19 18:00:00,Emeklilikte Yaşa Takılanlar (EYT) hakkında son durum ne? https://t.co/b49T8o34Ji https://t.co/1k3cYeJakg,10,6
Limon,987718273637781504,2018-04-21 15:42:42,Damadın cevabı nikahı iptal ettirdi https://t.co/ckFEQ5Us63 https://t.co/yb23hm8aWo,4,2
Limon,836297353472659456,2017-02-27 19:30:01,Türkiye'de bu kentte iş var işçi yok! https://t.co/jt7Kq0mbOP,10,2
Limon,829351666281566208,2017-02-08 15:30:20,Muş'ta buz kütlesi faciaya yol açıyordu https://t.co/bX5iwHC0oh https://t.co/5TmMoeu6nt,14,6
Limon,810945061571751937,2016-12-19 20:29:03,"Facebook, YouTube ve Twitter'a neden girilemiyor? https://t.co/XEF8K787CP https://t.co/DtPjJWynHO",15,12
Limon,859099437062377474,2017-05-01 17:37:21,Dünyanın ilk KKKA aşısını Türkiye üretecek https://t.co/imBUnvthxt https://t.co/RPixa2r29n,12,7
Limon,866624900160786433,2017-05-22 12:00:51,"2,4 milyar yıllık fosil dünyada ilk defa bu ilimizde sergileniyor https://t.co/bYtCceU8lS https://t.co/k3NKNY7kWt",6,1
Limon,857980333538586624,2017-04-28 15:30:26,Uçaktan yaka paça atılan yolcuyla 'dostane' bir anlaşma yapıldı! Ne kadar tazminat alacağı...… https://t.co/4HspVTJYDQ,7,1
Limon,1050745676857004033,2018-10-12 13:51:05,"Brunson bırakıldı, dolar yükseldi https://t.co/9cWvMGFrN3 https://t.co/a2nWK6OgPN",258,87
Limon,1214283767877124097,2020-01-06 20:33:05,Onlar için en zor zaman… Soğuk havada sokak hayvanlarını unutmayın   https://t.co/4falyoXeCv https://t.co/0OFhqESVmL,124,32
Limon,898144539915030529,2017-08-17 11:28:39,Selçuk gidiyor mu? Açıklıyoruz... https://t.co/4iYCDhHWwJ https://t.co/B1UTjloEPk,3,0
Limon,827909329739247616,2017-02-04 15:59:00,Her şey bu köydeki bir evle başladı! https://t.co/PLyqa4DOw0 https://t.co/f3miQqsriB,56,14
Limon,913860228944416768,2017-09-29 20:17:11,SON DAKİKA... FETÖ’nün 15 Temmuz Darbe Girişimi İstanbul ana davasında tahliye https://t.co/xJXsXpsg03,16,5
Limon,830390242972692481,2017-02-11 12:17:16,İşte Whatsapp'ın milyonlarca kullanıcısı için yayınladığı yeni özelliği... https://t.co/SPXzeCk8o9 https://t.co/ogUDzuMH7y,25,8
Limon,1210635391801401344,2019-12-27 18:55:44,BirGün'den yerli otomobille ilgili skandal haber! Göz göre göre yalan haber yaptılar   #yerliotomobil… https://t.co/xevRp26HSF,5,2
Limon,1028385499919081472,2018-08-11 20:59:44,Soğuk suyla duş alıyorsanız... https://t.co/Nq6Krp96Rb https://t.co/gvjNDldeaA,7,4
Limon,920712480137113600,2017-10-18 18:05:35,Kilosu 25 bin liradan satılıyor! Safranbolu'da hasadına başlandı https://t.co/1cwSdsRNe9 https://t.co/dDunjXZwB6,23,7
Limon,954056556450021376,2018-01-18 18:23:03,@LimonHaber??? https://t.co/ihZcyY51WA,0,0
Limon,1027826130806611969,2018-08-10 07:57:00,Her yeri didik didik aradılar! Kamyonetin kasasını açınca... https://t.co/g7wJb3Ud2E https://t.co/16BiGsJgQk,3,0
Limon,949310212502061056,2018-01-05 16:02:46,WhatsApp o özelliğini kaldırdı! https://t.co/6mqrKUJue1,6,1
Limon,837355966073024512,2017-03-02 17:36:34,Kara kış geri geliyor https://t.co/uaoWxqcCSK https://t.co/Bpxst9nih2,12,7
Limon,834315875184418816,2017-02-22 08:16:20,Ünlü sanatçı zor günler yaşıyor https://t.co/bliXR0KbWm https://t.co/WrcWXmVX9b,6,0
Limon,1107987585316605958,2019-03-19 12:50:00,"Gençlik ve Spor Bakanı Mehmet Muharrem Kasapoğlu, müjdeyi verdi! 7 gün 24 saat açık olacak https://t.co/dHVnU2kQBl https://t.co/lyrZgSR8tf",2,1
Limon,726051859765436416,2016-04-29 14:13:47,Sherlock'un yeni sezonunun başlayacağı tarih açıklandı  https://t.co/jpDA5Unk82 https://t.co/Pb7ZNgN0vR,5,1
Limon,847711039474909184,2017-03-31 07:23:56,Darbecilere ilk kurşunu sıkan Ömer Halisdemir'in CHP'li olmasına sansür... Talep Erdoğan'ın avukatından… https://t.co/mh75FchTHn,118,178
Limon,1173547659279437824,2019-09-16 10:42:20,Okul müdürünün öğrencilerin telefonlarını çekiçle parçaladığı video tepki çekti https://t.co/5wCC6ulRvU https://t.co/RUqvJSIa8h,19,7
Limon,805134093071564800,2016-12-03 19:38:21,Sayısal Loto çekildi. İşte kazandıran numaralar https://t.co/ixfX6e6yJm https://t.co/hjYJUiUAGx,13,3
Limon,873172445410275328,2017-06-09 13:38:28,"O uygulamayı indirdiyseniz başınız belada, silinemeyen virüs telefonunuza bulaşmış olabilir!  https://t.co/n32ODvI8A8",7,4
Limon,900693552988082176,2017-08-24 12:17:31,#SonDakika Kiev'de patlama https://t.co/o3O4mkhtr4 https://t.co/cp8ugQVpvv,4,8
Limon,865951450068811776,2017-05-20 15:24:48,Otel inşaatında korkutan yangın https://t.co/ChY1TVY55q https://t.co/k6gy0KaN1c,6,0
Limon,853134724210057216,2017-04-15 06:35:43,Şarkıcının evinden cephanelik çıktı https://t.co/F4VOAn1eIS https://t.co/uuIC5Z4iv6,7,3
Limon,1170253906527563776,2019-09-07 08:34:08,"Hafta sonu plan yapmadıysanız; konser, tiyatro, sinema gibi aktivite planlarının yer aldığı haftanın etkinlik progr… https://t.co/xMdU8CiQVd",1,0
Limon,997780495000842241,2018-05-19 10:06:22,İzmirli öğrenciler kendilerine yakışanı yaptı https://t.co/cQDSmXWmAj https://t.co/x8sF79lWOt,28,9
Limon,811247298025963520,2016-12-20 16:30:02,#FLAŞ! 15 Temmuz gecesi yaşanan kalkışmayla ilgili iddianame hazırlandı! 27 darbeci için istenen ceza belli oldu!… https://t.co/AkG4g4SPOO,8,7
Limon,933306869631848450,2017-11-22 12:11:12,#Sondakika Mustafa Sarıgül'den 2019 için adaylık açıklaması https://t.co/hRYSwbBYnQ https://t.co/vCHAwXUsw4,6,0
Limon,1192486878219386880,2019-11-07 17:00:01,Recep İvedik 6'yı 'sabırsızlıkla' bekliyor muyuz? https://t.co/sPYVEtS3ob https://t.co/FB5UelVIX3,80,1
Limon,972950307788423168,2018-03-11 21:40:04,Gol iptal olunca kulüp başkanı silahla sahaya girdi! https://t.co/eyL6lRKoGM https://t.co/R0l65yRTbD,64,15
Limon,965638239855005696,2018-02-19 17:24:31,İstanbul'a kar geliyor... Meteoroloji tarih verdi! https://t.co/PjBkH389Fs https://t.co/xcrl5bxvmt,2,1
Limon,1034806114959929345,2018-08-29 14:12:58,"Edin Visca, 'Fenerbahçe'ye transfer olacak mısın?' sorusuna yanıt verdi.  https://t.co/caUNMrbzLw https://t.co/rN9OX1wEyw",21,2
Limon,810544472442413056,2016-12-18 17:57:16,O güne dikkat! Kar geri geliyor https://t.co/l5UJlKaFOc https://t.co/ozG6keenkY,17,4
Limon,819197900479664129,2017-01-11 15:02:54,VİDEO - Vatandaşlar koşarak uzaklaştı! Beyazıt'ta korku dolu anlar kamerada  https://t.co/qpa90EpVWK https://t.co/jBaoE95aeq,5,2
Limon,1001068991257989120,2018-05-28 11:53:41,"#SONDAKİKA | Partinin kurucuları arasındaydı, İYİ Parti'de şok istifa! https://t.co/ha7byjvKGi https://t.co/JDFNqGxShP",0,0
Limon,820278239591628801,2017-01-14 14:35:47,Erdoğan'dan flaş döviz açıklaması https://t.co/NCc5JaqrnB https://t.co/1q38FkxOcR,12,5
Limon,965503272571170816,2018-02-19 08:28:13,Elden ayaktan düşmeden önleminizi alın https://t.co/2OltLH97hz https://t.co/VqzRlk1N6B,2,2
Limon,907929856326946816,2017-09-13 11:32:00,Korkutan anket sonuçları! Bunu yapmayan erkek 'boynuzlanıyor' https://t.co/WbP72tTfCm https://t.co/sciFRRWD1c,1,0
Limon,991327383562211328,2018-05-01 14:44:00,Her şey bir anda oldu... Önce şaşırdılar sonra oynadılar https://t.co/wZw0ErABlT https://t.co/sHN2LVwU0j,5,1
Limon,907184794601127938,2017-09-11 10:11:24,Kent meydanında bikiniyle güneşlendiler https://t.co/dMV7kU0kNS https://t.co/3qjOvftvsX,10,0
Limon,949941097266057216,2018-01-07 09:49:41,Devletten gençlere günlük 75 TL cep harçlığı! https://t.co/kxIRPmFtAR https://t.co/bBZb08KG97,12,5
Limon,1208513208060973063,2019-12-21 22:22:56,Küba'da 43 yıl sonra bir ilk! https://t.co/nbZuzYjyNi,10,1
Limon,298061209005678592,2018-18-17 15:57:32,"['İstanbul', 'için', 'uyarı', 'https://t.co/O1IIsHetVE']",5,0
Limon,1143853657684885504,2019-06-26 12:08:58,İBB Başkanı Ekrem İmamoğlu'ndan İstanbullulara mazbata çağrısı...İşte o tarih https://t.co/D28YJMamug https://t.co/fvx8Jo9bMn,103,8
Limon,1176456363771383814,2019-09-24 11:20:29,#SONDAKİKA | İstanbul'daki #deprem sonrası okullar tatil olacak mı?  Valilik'ten açıklama geldi… https://t.co/jH5e5mQdqx,0,1
Limon,868157674495594499,2017-05-26 17:31:33,#SICAKGELİŞME Ataşehir'deki rezidanstaki hareketliliğin nedeni belli oldu https://t.co/a1wxaI1tst https://t.co/6kA11VJEHQ,5,3
Limon,1196357112932306944,2019-11-18 09:18:57,ÖSYM üniversite sınav tarihini açıkladı https://t.co/idOXMIByks https://t.co/PeV0olG32q,0,1
Limon,1015894555667857409,2018-07-08 09:45:11,"Marmara depremine karşı önemli adım: ""Bu teknoloji Japonya'da yok"" https://t.co/JTRGMnP9Vs https://t.co/1n0AeB3VsW",17,3
Limon,1028886367059763200,2018-08-13 06:10:00,Star TV'nin #İstanbulluGelin dizisinin kadrosuna hangi usta oyuncu katıldı? | #MedyaTava https://t.co/gELrqvgD22 https://t.co/93XP2MwSwT,4,1
Limon,726358792468844545,2016-04-30 10:33:25,Sosyal medyanın yeni trendi: Fotoğraftaki adamı görebiliyor musun? https://t.co/ksKVQ75Lzs https://t.co/vLW3cm1Ln7,25,2
Limon,861133919101517824,2017-05-07 08:21:40,Korkunç görüntü... 2 yıl sonra bulundu!  https://t.co/gntVYCMsK3 https://t.co/dzErFztrYf,3,1
Limon,1207033071150796805,2019-12-17 20:21:24,Çizmeli değil 'bereli' kedi https://t.co/Kv4nV62AWp,34,1
Limon,730306001438711809,2016-05-11 07:58:13,Ünlü oyuncu sevgilisini herkesin tanıdığı o isimle aldattı! https://t.co/GCouVHbNvk https://t.co/PK277qb0CI,8,4
Limon,831136948471345154,2017-02-13 13:44:24,Kartal Metrosu'nda engelli bir kişi kendini raylara bıraktı https://t.co/p1RPIHD6DJ https://t.co/w3z7u7VbCU,5,3
Limon,1066735443092348929,2018-11-25 16:48:43,"Bilgi yarışmasında arkeologları kızdıran soru! Böyle tepki gösterdiler: Rezalet, tek kelimeyle korkunç… https://t.co/cmU3nRYVm4",6,1
Limon,1057272661712101376,2018-10-30 14:07:00,Booking ile ilgili flaş karar https://t.co/tFKIBfNIrv https://t.co/eipELGQI2f,0,1
Limon,861597140929433601,2017-05-08 15:02:20,Macron'un Türkiye'yle ilişkilerinde önceliği ne olacak? https://t.co/A14nJueeMF https://t.co/lvxUDZw2EW,2,1
Limon,843723321149677568,2017-03-20 07:18:10,Banyoda telefonunu şarj etmek isterken hayatını kaybetti https://t.co/95AL2e2Tbt https://t.co/FDORCmRHOi,0,1
Limon,818481272871915520,2017-01-09 15:35:16,İşte özgün milli helikopterin uçacağı tarih! https://t.co/Czx0CJs7Kj https://t.co/s9gXXgBHV4,49,13
Limon,1180159202729381893,2019-10-04 16:34:14,"Fox TV Ana Haber Bülteni sunucusu Fatih Portakal, bu akşam ekranlardaki yerini almadı. Türkiye’nin en çok izlenen a… https://t.co/S7gKpW28Kk",21,1
Limon,847113857147555841,2017-03-29 15:50:56,Samsung #GalaxyS8'in çıkış tarihi belli oldu https://t.co/oTReVfIWWn https://t.co/LizxVbYhLp,15,2
Limon,1193108459476135936,2019-11-09 10:09:58,Küçükçekmece'de ilginç yıkım https://t.co/hBW7CE9CiL https://t.co/2P7QdhwCCI,3,1
Limon,827453839276199936,2017-02-03 09:49:03,Her gün bu mağaraya gidiyorlar! Çünkü... https://t.co/f1W7wULRmu https://t.co/MHeQiVT3iT,4,1
Limon,997386382271287296,2018-05-18 08:00:18,#SONDAKİKA | HDP'li vekil Saadet Partisi'nden aday oldu! #ErkenSeçim https://t.co/eexPqtLrEF https://t.co/HiHzpfhxix,2,0
Limon,1136338719408087041,2019-06-05 18:27:17,Enes Batur’a kötü haber: Üç günlük gişe rakamları hayal kırıklığı yarattı https://t.co/BTAnQQlV7P https://t.co/FYlV98lb7i,46,2
Limon,1173867950832594945,2019-09-17 07:55:03,WhatsApp'ı iPhone'dan kullananlar dikkat! Bu özelliği çok baş ağrıtacak... https://t.co/aQHyMEnS47,1,0
Limon,873175350884405249,2017-06-09 13:50:01,"Eski Fenerbahçeli, Gran Canaria ile yollarını ayırdı https://t.co/lUo5zPsbyj https://t.co/e277DT0lbi",1,0
Limon,842631318617972736,2017-03-17 06:58:56,1 Nisan'da yeni dönem başlıyor... 17 bin liralık borç 4 bin liraya inecek https://t.co/1PL2LVTejC https://t.co/VLELK3wRiO,7,2
Limon,1208484551162519553,2019-12-21 20:29:04,Popüler uygulama TikTok’a yasak https://t.co/f30EofJoO3 https://t.co/RcdA8Ujb04,2,0
Limon,838737751725989888,2017-03-06 13:07:17,Hırsızı gözleri ele verdi  https://t.co/Fn2qlc9LfD https://t.co/Oe6WClsQha,3,0
Limon,2110828210697179136,2018-13-27 18:57:38,"['Önemli!', 'Sonuna', 'kadar', 'okuyun', 've', 'paylaşın""', '', 'https://t.co/wMu5Sll84q']",5,0
Limon,817400372167839744,2017-01-06 16:00:09,"15 günde 3 kez soyulan bakkal, hırsıza not bıraktı: ""Ey hırsız kardeş..."" https://t.co/ald4FCi74p https://t.co/T2KXXz2eM0",13,4
Limon,973254608847101955,2018-03-12 17:49:15,SON DAKİKA | Bakanlar Kurulu sonrası Hükümet Sözcüsü Bozdağ'dan açıklama https://t.co/DH3vePRC2N https://t.co/jTsLxKDi5D,3,2
Limon,980508951165964291,2018-04-01 18:15:25,'Tolgshow' sevenlere kötü haber https://t.co/rdI8LtGYB2 https://t.co/Jt7iiKnDFr,3,1
Limon,1197590502088024064,2019-11-21 19:00:00,Telefonuna 'Azrail' diye kaydetmişti... Dilan'ın katilinden arsız savunma https://t.co/OIBl5ni5uk https://t.co/pZYhwzztcv,1,0
Limon,999560942689095680,2018-05-24 08:01:14,Dünyanın en güçlü pasaportları açıklandı: İşte Almanya'yı tahtından eden ülke https://t.co/uRbr7j0uqC https://t.co/HE5q9SEto4,13,6
Limon,1177207615404818432,2019-09-26 13:05:41,İstanbul’daki korkutan görüntüde gerçek ortaya çıktı! https://t.co/IRjw15gB5Q https://t.co/LMUrXv0RSq,46,8
Limon,903183505387114496,2017-08-31 09:11:42,Filiz Aker'in cenazesini o aldı! https://t.co/z6rXiOVait https://t.co/3kh9dSttvg,5,1
Limon,1185504892649119744,2019-10-19 10:36:06,Cilt lekeleri ve sivilceler için etkili... Dünyanın birçok ülkesine gönderiyor https://t.co/J9vLoqxf5T https://t.co/CQX26UqLBe,10,2
Limon,881956227000958976,2017-07-03 19:22:05,Halka kapattığı plajda ailesiyle tatil yaptı https://t.co/DhflYc6wEu https://t.co/E7IRfyCNfX,24,6
Limon,1180822392937046016,2019-10-06 12:29:31,@LimonHaber Oooo Limon'cum; reklam mı almışsın? :)),0,0
Limon,978309366305738753,2018-03-26 16:35:03,Beyoğlu'nda bir garip olay https://t.co/sdikvaH2Qu https://t.co/eJWOpo8Rvk,10,1
Limon,820978855498412032,2017-01-16 12:59:46,Araştırmanın sonuçları o tezi destekliyor: Acı biber tüketenler... https://t.co/SqGyQMG3oZ https://t.co/TPgEi3baEZ,9,9
Limon,1039362899242770432,2018-09-11 04:00:00,"Dünyanın ikincisi, Türkiye'nin en büyüğü! Akın akın oraya gidiyorlar... https://t.co/qb7x1pbSp6 https://t.co/LtLRYLayp9",1,0
Limon,1176051887696691200,2019-09-23 08:33:14,#SONDAKİKA Manchester Havalimanı'nda bomba alarmı! https://t.co/mhMUAVcX6M https://t.co/WWOsBLUrew,1,1
Limon,895293260033380353,2017-08-09 14:38:41,Mahalleli küçük kızın çığlıklarına koştu! https://t.co/9ER6vm8kbm https://t.co/AMEw58eGpJ,6,9
Limon,1146508912503357440,2019-07-03 20:00:00,'İstanbul'a geldik' diyerek bakın nereye bırakıldılar? https://t.co/0TCA2S6z2J https://t.co/X9LJRUUWTr,5,0
Limon,1070622250800463873,2018-12-06 10:13:30,Elektronik tebligatlarda yeni dönem! https://t.co/2wYxVFpIa6 https://t.co/6GnbTjUk7m,1,1
Limon,1202952883924279296,2019-12-06 14:08:11,MESAİ ÇIKIŞINA DİKKAT E-5'te kaza: Trafikte yoğunluk https://t.co/d4HLPce7lr https://t.co/5fn5zRog0K,6,1
Limon,875296453857611777,2017-06-15 10:18:31,FLAŞ: Hülya Koçyiğit'ten haber var! https://t.co/f6l5JqZaLe https://t.co/64Ziv8MAOM,1,0
Limon,1095652242030510082,2019-02-13 11:53:45,"İsmini sorduğu genç öyle bir cevap verdi ki, başkan hayretler içinde kaldı - VİDEO https://t.co/P3wWh9pY7t https://t.co/rcX5WT7hJr",4,2
Limon,796660044481855488,2016-11-10 10:25:30,Denizin ortasındaki kazıkların sırrı ortaya çıktı https://t.co/u64lbxBwSx https://t.co/lJiv0XojLD,9,6
Limon,817306298505162753,2017-01-06 09:46:21,Milli Savunma Bakanı'ndan bedelli askerlik açıklaması https://t.co/T1aHRU4lS8 https://t.co/vvjpk7WLIB,12,13
Limon,934341498727993344,2017-11-25 08:42:27,ABD'den yeni açıklama: O görüşmede... https://t.co/TYr6UwlApC https://t.co/j8XtHiibr2,6,0
Limon,913886107653226496,2017-09-29 22:00:01,Kars'ı karıştıran göktaşının ne olduğu ortaya çıktı https://t.co/H1tcXSBrsr https://t.co/MzibtKPHS2,9,39
Limon,918175624086413312,2017-10-11 18:05:02,Ders olarak anlatılmaya başlandı... Çocuklar kendilerini nasıl korur?  https://t.co/XPFRVdp39o https://t.co/MeBffUgXRa,9,5
Limon,1068159804424810496,2018-11-29 15:08:37,Bekçiler trafik cezası kesebilecek mi? Bakanlıktan açıklama https://t.co/34wIadVQw6 https://t.co/SUcTiwhH38,2,1
Limon,1141974880117825538,2019-06-21 07:43:22,2 bin yıllık gizem çözüldü https://t.co/j0Oxb6Bsuf https://t.co/eOUqYma8lc,65,7
Limon,908752024241606659,2017-09-15 17:59:01,Haberler yalan! Yeni kimlik iddiası bir anda yayıldı https://t.co/TYCgenN91F,8,1
Limon,836477641154711554,2017-02-28 07:26:25,"""Eşimi geri verin parayı ödeyeyim"" https://t.co/DQCVsspvRB https://t.co/xvNpzODguA",7,3
Limon,832265727088459776,2017-02-16 16:29:46,Kandilli'den deprem açıklaması  https://t.co/4VlTC5N53d https://t.co/4X0RsLt2br,3,1
