source,tweet_id,created_at,full_text,favorite_count,retweet_count
Evrensel,6.6214E+17,Thu Nov 05 05:29:21 +0000 2015,"İhsan Çaralan yazdı: ‘Sistem’ dayatıp 'fiili ""Başkan""lığa’ razı etmek! https://t.co/meZAS3sR3O https://t.co/NCtysaIhIt",5,3
Evrensel,6.62134E+17,Thu Nov 05 05:08:36 +0000 2015,Elazığ'da Arıcak ilçesine bağlı bazı bölgelerde sokağa çıkma yasağı ilan edildi. https://t.co/eHxybrhcMy https://t.co/z1uMI1NW5Q,3,9
Evrensel,6.62132E+17,Thu Nov 05 04:58:25 +0000 2015,Eleştirmen Semih Gümüş’le kaleme aldığı ilk romanını konuştuk. @CanYayinlari @H__G__ https://t.co/9oNIKaIiM0 https://t.co/N9eHTm59Ud,4,7
Evrensel,6.62129E+17,Thu Nov 05 04:47:49 +0000 2015,Alman bilim insanları: Geri dönüş yok; deniz seviyesi 10 bin içinde 3 metre yükselecek. https://t.co/bP24LHGpkW https://t.co/fg9LXqYDMK,10,14
Evrensel,6.62128E+17,Thu Nov 05 04:42:43 +0000 2015,"Yücel Özdemir'in haber-analizi: PEGIDA, sığınmacılar, hükümetin izlediği politika @ozdemir_y https://t.co/2NhCURr8kW https://t.co/ry6ShFoY0o",3,9
Evrensel,6.62124E+17,Thu Nov 05 04:27:07 +0000 2015,'10 ayda 346 kadın cinayeti' manşetiyle bayilerdeyiz. https://t.co/VPYSCZEjFZ https://t.co/TQoaRv66P9,10,46
Evrensel,6.6201E+17,Wed Nov 04 20:53:07 +0000 2015,Mujica'yı İzmir'de binler dinledi https://t.co/lOc8kD7YBt https://t.co/neZEq1iOwd,40,14
Evrensel,6.62005E+17,Wed Nov 04 20:34:05 +0000 2015,Evrensel yarın '10 ayda 346 kadın cinayeti' manşetiyle bayilerde https://t.co/YxLKzgxWt8 https://t.co/7Ql9NiUVH3,13,23
Evrensel,6.62003E+17,Wed Nov 04 20:27:25 +0000 2015,California Üniversitesi'nde 5 öğrenci bıçaklandı https://t.co/c3Ab9R7UqL https://t.co/2Jl4OO6oZ8,1,0
Evrensel,6.62002E+17,Wed Nov 04 20:23:10 +0000 2015,Taksim'de Rus turist bacağından bıçaklandı https://t.co/O2x7lm0hoF https://t.co/ptJRZPNBrw,4,3
Evrensel,6.62001E+17,Wed Nov 04 20:17:11 +0000 2015,Sahte içkiden ölenlerin sayısı 26'ya yükseldi https://t.co/Mtc5fU9pbh https://t.co/WsnonwOOxC,2,9
Evrensel,6.61999E+17,Wed Nov 04 20:10:29 +0000 2015,İşten atılacaklar listesi belirleyen Cem Küçük: Artık seni de biz yöneteceğiz Aydın Doğan https://t.co/VVJW80x5bM https://t.co/Wf5gQP1tPQ,30,108
Evrensel,6.61993E+17,Wed Nov 04 19:45:14 +0000 2015,Volkanik küller 700'e yakın uçuşu iptal ettirdi https://t.co/QZ76f2BU1r https://t.co/GpcLYcYfX2,4,2
Evrensel,6.6199E+17,Wed Nov 04 19:35:08 +0000 2015,Danimarka’da belediyelere mülteci yardımı yok https://t.co/9spVZk3I3l https://t.co/1HGUPNDFXy,0,2
Evrensel,6.61978E+17,Wed Nov 04 18:47:30 +0000 2015,"Bahçeli: Baş vermem, geri adım atmam https://t.co/zhT4iavHsZ https://t.co/TqnOk0YHU2",3,2
Evrensel,6.61977E+17,Wed Nov 04 18:42:33 +0000 2015,Rusya: Esad'la ilgili tutumumuz değişmedi https://t.co/5INOJS0Se1 https://t.co/vrJ8J6VKjG,10,14
Evrensel,6.61974E+17,Wed Nov 04 18:33:12 +0000 2015,"Silvan'da saldırılar yoğunlaştı, mahallelerden dumanlar yükseliyor https://t.co/Fkesv5uXXM https://t.co/Xa1u0hM565",14,43
Evrensel,6.61972E+17,Wed Nov 04 18:23:39 +0000 2015,Silvan'da bir eve roketatar mermisi isabet etti https://t.co/UxSEXvyjYN https://t.co/iUbnm4KRWC,9,37
Evrensel,6.6197E+17,Wed Nov 04 18:14:28 +0000 2015,Karabük'te üniversite öğrencisi tutuklandı https://t.co/qVdgj6ea99 https://t.co/8TCUGDbaqC,4,12
Evrensel,6.61968E+17,Wed Nov 04 18:08:41 +0000 2015,Hakkari ve Dicle'de özel güvenlik bölgeleri genişletildi https://t.co/78qqCNBgPS https://t.co/xiFEBSJOI8,4,10
Evrensel,6.61967E+17,Wed Nov 04 18:02:42 +0000 2015,"IŞİD, Hol'un kuzeyindeki Arap köyünde katliam yaptı https://t.co/9AqfVtciM4",5,14
Evrensel,6.61964E+17,Wed Nov 04 17:52:41 +0000 2015,"Pakistan'da 4 katlı fabrika çöktü: En az 16 işçi yaşamını yitirdi, 100 işçi enkaz altında https://t.co/WjhzzIpAnT https://t.co/I4W25FtpFY",4,17
Evrensel,6.61962E+17,Wed Nov 04 17:45:21 +0000 2015,"Suriye ordusu ve Hizbullah, Halep'e ikmal yolunu IŞİD'den geri aldı https://t.co/yazyrlGJ1Y https://t.co/PmBDbyBwaR",13,20
Evrensel,6.6196E+17,Wed Nov 04 17:36:38 +0000 2015,Forbes'a göre Putin 'Dünyanın en güçlü insanı' https://t.co/697FBK1Gm5 https://t.co/3n37LCSm3g,17,12
Evrensel,6.61951E+17,Wed Nov 04 17:00:31 +0000 2015,İstanbul Büyükşehir Belediyesi'nin barış heykeli tahammülsüzlüğü https://t.co/xtwuOzYpQB https://t.co/nDbN8QRumx,8,14
Evrensel,6.61948E+17,Wed Nov 04 16:48:13 +0000 2015,Siirt'te öldürülen Deniz İleri'nin cenazesi ailesi tarafından teslim alındı https://t.co/BpGxvTbLlW https://t.co/Mp9IORm4eZ,5,9
Evrensel,6.61946E+17,Wed Nov 04 16:40:20 +0000 2015,Silvan'da polis saldırısında yaşamını yitiren Sertip Polat toprağa verildi https://t.co/hORwqEs8Vk https://t.co/lALu1ZAL6w,12,11
Evrensel,6.61944E+17,Wed Nov 04 16:33:39 +0000 2015,Silvan'da Engin Gezici'den sonra keskin nişancıların hedefi olan halası İsmet Gezici(55) de yaşamını yitirdi https://t.co/Q3br9TnY1y,7,42
Evrensel,6.61941E+17,Wed Nov 04 16:21:23 +0000 2015,Başbakanlıkta savaş zirvesi - Davutoğlu: Operasyonlar kışın da kesintisiz devam etsin https://t.co/5EJtofh0nm https://t.co/HjRQ30cLlG,2,13
Evrensel,6.61939E+17,Wed Nov 04 16:10:39 +0000 2015,Manisa'da 17 kişiye 8 Mart davası https://t.co/fF6mhSJ0Xf https://t.co/CfIfkrYpSc,4,16
Evrensel,6.61937E+17,Wed Nov 04 16:02:24 +0000 2015,Hepatit B virüsü: Sigaradan sonra en önemli 2. kanserojen https://t.co/54mMkXApqU https://t.co/oJmArzaAjH,6,7
Evrensel,6.61936E+17,Wed Nov 04 16:01:01 +0000 2015,Şenol Güneş: Türkiye’de çok sorun var ama artık sıra canlara geldiği için öbürlerini unuttuk https://t.co/CEaoKKHsZo https://t.co/AbcaqakD9j,36,30
Evrensel,6.61935E+17,Wed Nov 04 15:56:56 +0000 2015,‘Yürümek koşmaktan iyi’ https://t.co/JkEAoaJiRh https://t.co/SR3n8Ky0IV,5,3
Evrensel,6.61932E+17,Wed Nov 04 15:45:27 +0000 2015,e-postaları yapay zeka yanıtlayacak https://t.co/xGCQhRqclR https://t.co/BHf17cyHSk,3,4
Evrensel,6.61931E+17,Wed Nov 04 15:41:02 +0000 2015,Sütunlar 1520 yıl sonra gün yüzüne çıktı https://t.co/CKgGlmQB42 https://t.co/uJXQuDY8XU,6,7
Evrensel,6.6193E+17,Wed Nov 04 15:37:07 +0000 2015,AB: Gazetecilere dava açılmasını kabul etmiyoruz https://t.co/c2UKOuAd9o https://t.co/MSXKjs2Mqz,5,8
Evrensel,6.61926E+17,Wed Nov 04 15:19:54 +0000 2015,Aziz Güler'in cenazesi 44 gündür sınırda bekletiliyor https://t.co/XtqhZS6bzl https://t.co/paC4b7lFAh,23,72
Evrensel,6.61922E+17,Wed Nov 04 15:04:21 +0000 2015,Diyarbakır'da operasyon öncesi 22 köyde sokağa çıkma yasağı https://t.co/yvnIMhO693 https://t.co/9lUfdr9IVj,5,14
Evrensel,6.6192E+17,Wed Nov 04 14:55:32 +0000 2015,Davutoğlu başkanlığında güvenlik toplantısı https://t.co/MXq8hU5gBK https://t.co/dGDImgCoxL,6,4
Evrensel,6.61915E+17,Wed Nov 04 14:35:02 +0000 2015,Mersin Kent Edebiyat Ödülü Cevat Çapan’ın https://t.co/ANBxQJSYls https://t.co/sLNpYi9Y52,6,6
Evrensel,6.61914E+17,Wed Nov 04 14:33:35 +0000 2015,EMEP GYK Üyesi Umut Yeğin hakkında 'Cumhurbaşkanına hakaret' soruşturması https://t.co/hu5ye0KsI4 https://t.co/Y2h09nLuD6,14,23
Evrensel,6.61914E+17,Wed Nov 04 14:31:18 +0000 2015,Orhan Kemal Roman Armağanı için başvurular başladı https://t.co/EXDIwf9qnn https://t.co/fu28nhwiYW,8,5
Evrensel,6.61913E+17,Wed Nov 04 14:27:51 +0000 2015,Lîs Yayınevi’nden ‘sanal fuar’ https://t.co/u0p6n2VK4o https://t.co/OrF75aoyvP,1,2
Evrensel,6.61911E+17,Wed Nov 04 14:20:49 +0000 2015,ABD Dışişleri Bakanlığının LGBT özel elçisi Kosova’da https://t.co/Lu59ZNsyhq https://t.co/iMujE9ovpk,1,3
Evrensel,6.6191E+17,Wed Nov 04 14:15:24 +0000 2015,H&amp;M ‘Küresel Çerçeve Sözleşmesi’ni imzaladı https://t.co/44gC1OVCWd https://t.co/wrs3XbTqcP,3,2
Evrensel,6.61909E+17,Wed Nov 04 14:12:14 +0000 2015,"Silvan'da polis, bir sivili daha öldürdü https://t.co/mQFUKBKCdP https://t.co/ipI9msRQhA",8,21
Evrensel,6.61908E+17,Wed Nov 04 14:07:51 +0000 2015,Erdoğan'dan tüm kesimlere gözdağı https://t.co/NG52Judlld https://t.co/wY9avanccV,0,14
Evrensel,6.61906E+17,Wed Nov 04 14:02:08 +0000 2015,Şenol Güneş: Hükümet Gezi'de gençlerin önünü kesti https://t.co/CEaoKKHsZo https://t.co/H9oIPoPgPS,36,31
Evrensel,6.61905E+17,Wed Nov 04 13:56:00 +0000 2015,HDP Antep: Gün geri çekilme değil daha fazla mücadele günüdür https://t.co/awyswt27xu https://t.co/WAeXGVsWXR,21,27
Evrensel,6.61903E+17,Wed Nov 04 13:50:31 +0000 2015,Tayar’ın babasından Diyarbakır Valisine tepki: Oğlumun araması varsa neden almadılar https://t.co/6bGAMGxbwN https://t.co/75HRaroARF,15,15
Evrensel,6.61901E+17,Wed Nov 04 13:41:42 +0000 2015,Türkücü Kutsal Evcimen’e söylediği türküden dolayı Cumhurbaşkanına hakaret davası açıldı https://t.co/08FRAbVmlE https://t.co/kx9qtEHq6r,7,17
Evrensel,6.61901E+17,Wed Nov 04 13:40:30 +0000 2015,"Iğdır'da bir kadın, eşi tarafından katledildi https://t.co/3fVDoLUoyh https://t.co/iaJZYQ9TYU",2,10
Evrensel,6.61899E+17,Wed Nov 04 13:33:50 +0000 2015,ODTÜ Mescit Topluluğu IŞİD’e örgütleme mi yapıyor? https://t.co/mzUJWPO1rq https://t.co/PRzDO0Spow,5,22
Evrensel,6.61898E+17,Wed Nov 04 13:28:40 +0000 2015,Canlı bomba babasına ‘Urfa’dayım’ demiş https://t.co/qyqF29i8Oc https://t.co/Dl3AckRGOO,4,7
Evrensel,6.61897E+17,Wed Nov 04 13:24:24 +0000 2015,Kayseri ODS’ye sendikacılardan ziyaret https://t.co/1fvTsTn6Tb https://t.co/yw3b5wo9Yz,2,3
Evrensel,6.61896E+17,Wed Nov 04 13:22:13 +0000 2015,Çayeli grevi tüm coşkusuyla sürüyor https://t.co/aD0H11Xl7f https://t.co/UR0jvfnemA,2,7
Evrensel,6.61894E+17,Wed Nov 04 13:15:01 +0000 2015,EMEP Genel Başkanı Selma Gürkan grevdeki Munzur Su işçilerini ziyaret etti https://t.co/DG1Q8cn3Ie https://t.co/VbmFPZDyIY,6,9
Evrensel,6.61893E+17,Wed Nov 04 13:09:50 +0000 2015,Fatih Belediyesi'nde katliama tepki gösteren emekçilerin sürgün edilmesi protesto edildi https://t.co/xBgT4rzGUO https://t.co/EzpWCxob0a,8,13
Evrensel,6.61891E+17,Wed Nov 04 13:02:29 +0000 2015,Şair Gülten Akın’ı kaybettik #GültenAkın https://t.co/hdaDCQemlj https://t.co/mPcq6n11QA,21,34
Evrensel,6.61889E+17,Wed Nov 04 12:53:27 +0000 2015,Renault işçilerine uluslararası destek https://t.co/6gdRl3wiWv https://t.co/u6mf0WRq9C,3,3
Evrensel,6.61884E+17,Wed Nov 04 12:34:00 +0000 2015,Dağlıca'da çatışma: 2 asker hayatını kaybetti https://t.co/KZCmkyptqZ https://t.co/mS73th9etY,4,9
Evrensel,6.61881E+17,Wed Nov 04 12:21:38 +0000 2015,Yüksek enflasyonun sebebi dövizmiş https://t.co/35HFgMo0fB https://t.co/JTtskk0yfl,1,0
Evrensel,6.6188E+17,Wed Nov 04 12:19:23 +0000 2015,Manisa Valisi Bektaş: Alman markasının ırgatıyız https://t.co/i5JChrvZ0k https://t.co/s3jeOG6o6y,2,3
Evrensel,6.61879E+17,Wed Nov 04 12:13:16 +0000 2015,Yoksulun parası anca gıdaya yetiyor https://t.co/0scFbNi4ZK https://t.co/qZMIqeZY39,3,10
Evrensel,6.61878E+17,Wed Nov 04 12:09:15 +0000 2015,Mimarlar Odası Ankara Şubesinden yeni iddia: AOÇ’de süt yolsuzluğu https://t.co/TKyebo8GFU https://t.co/HDDNmc1rmF,6,13
Evrensel,1.03792E+18,Fri Sep 07 04:10:03 +0000 2018,"Yücel Özdemir yazdı: Almanya solunda yeni arayış
https://t.co/B3Osl6e09m https://t.co/Chqz8jLRhM",1,1
Evrensel,1.03791E+18,Fri Sep 07 04:05:03 +0000 2018,"Mehmet Özyazanlar yazdı: Yeşil sahanın zorbaları
https://t.co/oVZqCnNiZi https://t.co/IVHXqrZLoA",1,3
Evrensel,1.03791E+18,Fri Sep 07 03:30:06 +0000 2018,"Sefer Selvi, Genel Yayın Yönetmenimiz Fatih Polat’a verilen para cezasını çizdi https://t.co/GB9RV7PiFV https://t.co/szAozgHCeA",220,56
Evrensel,1.03791E+18,Fri Sep 07 03:30:06 +0000 2018,"Günaydın, ‘Ev ekonomisi göçtü’ manşetiyle bayilerdeyiz https://t.co/AX0lI5XGWD https://t.co/465H4EkhOL",23,9
Evrensel,1.0379E+18,Fri Sep 07 03:05:06 +0000 2018,"Petrol-İş Gebze Şube Başkan Yardımcısı Şivan Kırmızıçiçek’le Flormar direnişini konuştuk: Flormar kazanırsa, örgütsüz işçiler için de kazanım olacak https://t.co/B9XSePk4WY",10,9
Evrensel,1.03788E+18,Fri Sep 07 01:40:03 +0000 2018,"İMES işçileri ücretlerinin artırılmasını istiyor
https://t.co/FicLx3mN1F",3,1
Evrensel,1.03787E+18,Fri Sep 07 01:10:03 +0000 2018,"Akademisyen @fatih_yasli: Batıyla gerilim, AKP’yi Rusya’nın isteklerini kabule zorluyor | @MeltemAkyl 'un röportajı
https://t.co/Uk3Q2lMvOw",4,3
Evrensel,1.03787E+18,Fri Sep 07 00:50:03 +0000 2018,"‘Onlar ejder suyu içiyor, vatandaş mevsim meyvelerini bile alamıyor’ |
Diyarbakırlı yurttaşlar, Saray'ın menüsünü değerlendirdi
https://t.co/F6uBqtPocu",28,15
Evrensel,1.03786E+18,Fri Sep 07 00:30:06 +0000 2018,"2017'nin en büyük 124. şirketi olan TEMSA'da işçi kıyımı
https://t.co/qLkUvGmk0S",3,6
Evrensel,1.03786E+18,Fri Sep 07 00:20:06 +0000 2018,"ÇMO'dan uyarı: Foça’daki kirlilik kalıcı hale gelebilir
https://t.co/nOjFKYvRSs",5,2
Evrensel,1.03784E+18,Thu Sep 06 23:25:03 +0000 2018,"Grubu olan partiler yerel seçimde nasıl bir strateji izleyecek?
https://t.co/psjwj7n038",5,3
Evrensel,1.03782E+18,Thu Sep 06 21:44:54 +0000 2018,"RT @evrenselgzt: HDP’yi sosyal medyada takip eden öğrencilere 5 yıl hapis istemiyle dava açıldı
https://t.co/m1kfLb2iLl",0,0
Evrensel,1.03782E+18,Thu Sep 06 21:44:43 +0000 2018,RT @evrenselgzt: Ankara’da sağlık örgütleri ve sendikalar şarbona ilişkin ortak açıklama yaptı: Temel nedeni ithalat ve denetimsizlik https…,0,0
Evrensel,1.03782E+18,Thu Sep 06 21:36:34 +0000 2018,"RT @evrenselgzt: ABD'li sinema oyuncusu Burt Reynolds, 82 yaşında hayatını kaybetti
https://t.co/T2YVj4uShP",0,0
Evrensel,1.03782E+18,Thu Sep 06 21:35:53 +0000 2018,"Angela Merkel: Türkiye ile yapılan ısrarlı konuşmalar, bazı Alman vatandaşlarının serbest kalmasını sağladı
https://t.co/bn0g3dpIUl",19,8
Evrensel,1.03781E+18,Thu Sep 06 21:03:14 +0000 2018,"Meksika'da bir toplu mezardan 166 kafatası çıkarıldı
https://t.co/0u0Efq4GY2",14,6
Evrensel,1.03781E+18,Thu Sep 06 20:58:27 +0000 2018,"Wesley Sneijder, Milli Takıma veda etti
https://t.co/XVX90vg49e",5,0
Evrensel,1.0378E+18,Thu Sep 06 20:47:50 +0000 2018,"Siirt'te tarım aracı kaza yaptı: 2 işçi yaşamını yitirdi
https://t.co/OsdC02r9LR",6,3
Evrensel,1.0378E+18,Thu Sep 06 20:46:59 +0000 2018,"RT @evrenselgzt: Suudi Arabistan'da bir doktor WhatsApp'ta grup yöneticisini vaktini boşa harcadığı için dava etti
https://t.co/uATgBfnJKH",0,0
Evrensel,1.0378E+18,Thu Sep 06 20:35:07 +0000 2018,"Sefer Selvi, Genel Yayın Yönetmenimiz Fatih Polat’a verilen para cezasını çizdi https://t.co/GB9RV7PiFV https://t.co/dVwTvlpvNH",140,45
Evrensel,1.0378E+18,Thu Sep 06 20:30:12 +0000 2018,"Yarın, ‘Ev ekonomisi göçtü’ manşetiyle bayilerdeyiz https://t.co/AX0lI5XGWD https://t.co/b2yXJtXl4N",21,18
Evrensel,1.0378E+18,Thu Sep 06 20:17:35 +0000 2018,"Japonya'da deprem: Ölü sayısı 9'a çıktı, 350'den fazla yaralı
https://t.co/4tctG54AUQ",6,4
Evrensel,1.0378E+18,Thu Sep 06 20:13:42 +0000 2018,"Brezilya'da devlet başkanı adayı Jair Bolsonaro karnından bıçaklandı
https://t.co/ZPWl8Oz9hr",2,3
Evrensel,1.03779E+18,Thu Sep 06 19:50:03 +0000 2018,"ABD'li sinema oyuncusu Burt Reynolds, 82 yaşında hayatını kaybetti
https://t.co/T2YVj4uShP",18,5
Evrensel,1.03778E+18,Thu Sep 06 18:55:07 +0000 2018,22. İstanbul Tiyatro Festivali’nin içerik tanıtımı ve Onur Ödülü gecesi dün akşam yapıldı https://t.co/WW8rz5GaON,7,3
Evrensel,6.61876E+17,Wed Nov 04 12:00:46 +0000 2015,"Barolara, katliamların aydınlatılması için çağrı https://t.co/ZdjWUpcHDx https://t.co/LKA6KIGnFP",6,4
Evrensel,6.61873E+17,Wed Nov 04 11:51:52 +0000 2015,"Romanya Başbakanı, 32 kişinin öldüğü gece kulübü yangını üzerine istifa etti https://t.co/npCerhyzbJ https://t.co/jekWfyhxXO",20,26
Evrensel,6.61873E+17,Wed Nov 04 11:50:50 +0000 2015,JİTEM Davasının karar duruşması yarın: Temizöz suçsuz ise #21İnsanıKimÖldürdü https://t.co/BcIGq2CKrz https://t.co/IwwNDxKv0I,14,32
Evrensel,6.61873E+17,Wed Nov 04 11:48:43 +0000 2015,Oy ve Ötesi: 10 bin oyda uyuşmazlık var https://t.co/bVW8OWKMNZ https://t.co/tGNS0AG8pN,7,24
Evrensel,6.61872E+17,Wed Nov 04 11:46:34 +0000 2015,ABD polisinden 7 yaşındaki çocuğa ters kelepçe https://t.co/aibnCjqahH https://t.co/meZVHq71l7,5,6
Evrensel,6.61871E+17,Wed Nov 04 11:41:51 +0000 2015,Müzisyen Değer Deniz'in katili ilk duruşmada ifade değiştirdi https://t.co/901n3mNvav https://t.co/TmxRDV4V9u,0,9
Evrensel,6.61869E+17,Wed Nov 04 11:32:15 +0000 2015,Oy ve Ötesi: 10 bin oyda uyuşmazlık var https://t.co/bVW8OX2ocz https://t.co/AKbXszo6w7,7,12
Evrensel,6.61867E+17,Wed Nov 04 11:27:59 +0000 2015,Yüksekova'da polislerce öldürülen gençleri on binlerce kişi uğurladı https://t.co/TfCSKGFQUd https://t.co/tl2rN8PYi3,46,92
Evrensel,6.61867E+17,Wed Nov 04 11:24:15 +0000 2015,Torbalı Göllüce köylüleri meraları için direniyor https://t.co/C5iiA3Hxjw https://t.co/ZKrnUYUSgi,3,5
Evrensel,6.61866E+17,Wed Nov 04 11:23:04 +0000 2015,Karaburun'da Çalık Enerji’ye ait Sarpıncık RES Projesi'nin ÇED olumlu kararı iptal edildi https://t.co/UeoxjclhTF https://t.co/Zsq60AZb5A,1,3
Evrensel,6.61865E+17,Wed Nov 04 11:16:59 +0000 2015,Yüksekova'da polisin öldürdüğü gençleri on binler uğurladı https://t.co/TfCSKGFQUd https://t.co/n4yFiD775b,8,24
Evrensel,6.61864E+17,Wed Nov 04 11:13:53 +0000 2015,Enver Müslim: Rusya ile görüşmeler olumlu geçti https://t.co/rm3PM2PUhX https://t.co/1t77S6Yjy9,12,6
Evrensel,6.61851E+17,Wed Nov 04 10:22:16 +0000 2015,HDP'den İstanbul'da yüzlerce sandığa itiraz https://t.co/1SRieprJMD https://t.co/8XTHZorcy4,24,29
Evrensel,6.6185E+17,Wed Nov 04 10:16:32 +0000 2015,"Metin Lokumcu’yu anmaktan 3,5 yıl sonra yargılanmaya başlandılar https://t.co/2TSzc3FK2H https://t.co/jo4Wsm6chC",7,11
Evrensel,6.61842E+17,Wed Nov 04 09:45:15 +0000 2015,İSKİ şantiyesinde iş cinayeti: 1 işçi hayatını kaybetti https://t.co/IXBFMrlZmP https://t.co/jcumUxidZw,2,5
Evrensel,6.6184E+17,Wed Nov 04 09:39:23 +0000 2015,Güney Sudan’da uçak düştü ölü sayısının 40 bulabileceği bildirildi https://t.co/UNgylYT3oU https://t.co/stgi5ROyGI,0,0
Evrensel,6.61839E+17,Wed Nov 04 09:33:35 +0000 2015,"Romanya Başbakanı, 32 kişinin öldüğü gece kulübü yangını üzerine istifa etti https://t.co/npCerhQaAj https://t.co/bOJjCAa1xD",40,66
Evrensel,6.61836E+17,Wed Nov 04 09:22:13 +0000 2015,Saray'dan 'Başkanlık referandumu' sinyali https://t.co/P7EWOgPqbG https://t.co/joYNlWXhzu,1,2
Evrensel,6.61832E+17,Wed Nov 04 09:07:20 +0000 2015,Tadilat halindeki okulda eğitim https://t.co/413yVTxhKf https://t.co/Tej7ruHvNF,0,2
Evrensel,6.61828E+17,Wed Nov 04 08:52:00 +0000 2015,Galatasaray tesislerinde gazetecinin ölümüne 15 bin TL para cezası https://t.co/KumkwwRKHi https://t.co/IUykO0tRXm,1,1
Evrensel,6.61826E+17,Wed Nov 04 08:44:47 +0000 2015,Operasyon emrine karşı çıkınca tutuklanan subaylar görevlerine döndü https://t.co/x6L5iYrBfn https://t.co/T37AfuBdSM,5,9
Evrensel,6.61822E+17,Wed Nov 04 08:25:43 +0000 2015,ABD polisinden 7 yaşındaki çocuğa ters kelepçe https://t.co/aibnCjHLGh https://t.co/nPcAlSrWcR,4,4
Evrensel,6.6182E+17,Wed Nov 04 08:18:22 +0000 2015,Umut Vakfı verilerine göre 2014te 306 kadın öldürülürken 2015'te 10 ayda 346 kadın öldürüldü https://t.co/GxqOFCsSLi https://t.co/4Svahoj9ys,5,19
Evrensel,6.61816E+17,Wed Nov 04 08:03:13 +0000 2015,Irak'ta yağmur felaketi!... 58 ölü! https://t.co/jJiyF8sURJ https://t.co/xIcalEi23U,1,3
Evrensel,6.61815E+17,Wed Nov 04 07:59:07 +0000 2015,Twitter’da 'Favori' butonunun yerini 'Beğen' butonu alınca #FavorimiBanaGeriVer kampanyası başladı. #TwitterHeart https://t.co/9UBnbbgg0G,11,4
Evrensel,6.61812E+17,Wed Nov 04 07:46:31 +0000 2015,14 yaşındaki kız çocuğuna tecavüz sanığına 'saygın tutum' indirimi https://t.co/MBr7xYiqkD https://t.co/2ZkqwxAiIx,5,21
Evrensel,6.61811E+17,Wed Nov 04 07:42:12 +0000 2015,"VİDEO: NASA, Güneş’in yüzeyindeki ‘termonükleer sanatı’ böyle görüntülendi. @NASA https://t.co/3rczynsfQ4 https://t.co/D5DGy1HL83",18,15
Evrensel,6.61804E+17,Wed Nov 04 07:17:16 +0000 2015,HDP Sözcüsü Ayhan Bilgen: Başkanlığa karşı durmakta ısrarlıyız @ayhanbilgen https://t.co/CQhwV9RD4A https://t.co/bvo4tY6rLl,22,39
Evrensel,6.61801E+17,Wed Nov 04 07:03:08 +0000 2015,İstanbul ve Adana'da gözaltı operasyonu: HDP'lilerin de olduğu 30'a yakın gözaltı https://t.co/TICa0OIVei https://t.co/6pLegRcX3f,7,23
Evrensel,6.61772E+17,Wed Nov 04 05:09:18 +0000 2015,"Romanya’da gece kulübü yangını nedeniyle binler sokaklara döküldü, hükümeti istifaya çağırdı https://t.co/eKeZ6dBb4M https://t.co/lt8dmDDVuJ",9,9
