source,created_at,full_text,favorite_count,retweet_count
Diken,4-May,"Canlı Yayın | İnce kürsüde: Sarayı bilim yuvası yapacağım, ülkenin en akıllı evlatlarına vereceğim http://www.diken.com.tr/canli-yayin-ince-kursude-askere-gitsek-ben-cavus-olurdum-erdogan-onbasi-olurdu/ …",163,32
Diken,3-Sep,"CHP’li Sezgin Tanrıkulu: * Bize öfkeli bir CHP seçmeni var * Cumartesi Anneleri olayında iki neden var * ‘Erken yerel seçime HDP ‘hayır’ demez * CHP’nin televizyonu yok, halkın yüzde 80’ine tweet atarak mı ulaşacağız MİNEZ BAYÜLGEN'in söyleşisi http://www.diken.com.tr/chpli-sezgin-tanrikulu-erdogan-secime-kadar-af-cikarmayacak/ …",7,6
Diken,16-Oct-18,1150 odalı sarayda yer çıkmadı: Çankaya Köşkü’nü politika kurulları kullanacak http://www.diken.com.tr/1150-odali-sarayda-yer-cikmadi-cankaya-koskunu-politika-kurullari-kullanacak/ …,15,3
Diken,2-Oct,Hastasının ‘Benimle dalga geçti’ diye vurduğu psikiyatrist hayatını kaybetti http://www.diken.com.tr/hastasinin-benimle-dalga-gecti-diye-vurdugu-psikiyatrist-hayatini-kaybetti/ …,13,21
Diken,23-Oct-18,"İnce, İstanbul için konuştu: Adaylık için varım, bir şartla http://www.diken.com.tr/ince-istanbul-icin-konustu-adaylik-icin-varim-bir-sartla/ …",20,3
Diken,10-Oct-18,"İzmir açıklarında sığınmacı teknesi battı: Dört kişi hayatını kaybetti, 30 kişi aranıyor http://www.diken.com.tr/izmir-aciklarinda-siginmaci-teknesi-batti-dort-kisi-hayatini-kaybetti/ …",9,7
Diken,6-Jul,"Akşener ‘ittifak kapısı’nı kapattı: AKP’nin yerine gelmek istiyoruz, yedekliği kim ister http://www.diken.com.tr/aksener-ittifak-kapisini-kapatti-akpnin-yerine-gelmek-istiyoruz-yedekligi-kim-ister/ …",65,7
Diken,13-Jul-18,"Demirtaş, Hazine’ye açtığı davadan 10 bin lira manevi tazminat kazandı http://www.diken.com.tr/demirtas-hazineye-actigi-davadan-10-bin-lira-manevi-tazminat-kazandi/ …",99,13
Diken,5-Jul,Bakanlık duyurdu: Kanser tedavisi artık ücretsiz http://www.diken.com.tr/bakanlik-duyurdu-kanser-tedavisi-artik-ucretsiz/ …,62,23
Diken,21-Oct-18,Kürdistan Bölgesel Yönetimi’nde seçim: Zafer Barzani’nin http://www.diken.com.tr/kurdistan-bolgesel-yonetiminde-secim-zafer-barzaninin/ …,9,3
Diken,17-Sep-18,Alman bakan Erdoğan’ı tepkilere hazırlıyor: Protesto demokratik gerçekliğin parçası http://www.diken.com.tr/alman-bakan-erdogani-tepkilere-hazirliyor-protesto-demokratik-gercekligin-parcasi/ …,17,5
Diken,27-Aug-18,İcra yoluyla el konan gayrimenkul sayısında patlama: Yedi ayda yüzde 5.6 arttı http://www.diken.com.tr/icra-yoluyla-el-konan-gayrimenkul-sayisinda-patlama-yedi-ayda-yuzde-5-6-artti/ …,37,23
Diken,11-Jul-18,ODTÜ hocası ‘yandaş gazeteciler’e isyan etti: Yok etme çabasına alkış tuttunuz http://www.diken.com.tr/odtu-hocasi-yandas-gazetecilere-isyan-etti-odtuyu-yok-etme-cabasina-alkis-tuttunuz/ …,110,22
Diken,6-May,"HDP, Demirtaş için YSK’ya başvurdu: Eşit ve özgür seçim olacaksa serbest bırakılmalı http://www.diken.com.tr/hdp-demirtas-icin-yskya-basvurdu-esit-ve-ozgur-secim-olacaksa-serbest-birakilmali/ …",168,46
Diken,10-Sep-18,Yedi bin yıllık keşif: Hırvatistan’da ‘dünyanın en eski peyniri’ bulundu http://www.diken.com.tr/yedi-bin-yillik-kesif-hirvatistanda-dunyanin-en-eski-peyniri-bulundu/ …,17,3
Diken,9-Jul,"Dolar ve avro yüzde 4'e yakın arttı, altındaki yükseliş yüzde 4'ü geçti http://www.diken.com.tr/yeni-kabine-dovizi-firlatti/ …",75,45
Diken,7-Dec-17,Bursa’da başçavuşun miğferle dövdüğü 20 yaşındaki asker hayatını kaybetti http://www.diken.com.tr/bursada-bascavusun-migferle-dovdugu-20-yasindaki-asker-hayatini-kaybetti/ …,67,97
Diken,10-Jul-18,Atlantis Yapım’dan yanıt yok: Piyanist Fazıl Say’ın konseri iptal http://www.diken.com.tr/atlantis-yapimdan-yanit-yok-piyanist-fazil-sayin-konseri-iptal/ …,16,11
Diken,11-Oct-18,‘Yerli otomobil’in tasarımından ilk görseller http://www.diken.com.tr/yerli-otomobilin-tasarimindan-ilk-gorseller/ …,46,10
Diken,17-Oct-18,SON DAKİKA AA duyurdu: Usta foto muhabiri Ara Güler hayatını kaybetti http://www.diken.com.tr/usta-foto-muhabiri-ara-guler-hayatini-kaybetti/ …,93,58
Diken,9-Jul,"Çorlu'daki tren kazasında bir anne, 10 aylık kızı Beren'le birlikte hayatını kaybetti http://www.diken.com.tr/tren-kazasi-anne-ve-kizlarini-ayirdi/ …",25,18
Diken,12-Sep-18,MEB’den ‘karma eğitim’ haberine: Okul türüne göre ayrıca belirtmeye gerek yok http://www.diken.com.tr/mebden-karma-egitim-haberine-okul-turune-gore-ayrica-belirtmeye-gerek-yok/ …,4,4
Diken,3-Oct,‘İleri demokrasi’de Meclis: Bürokratları çağırıp bilgi alma yetkisi kalkıyor http://www.diken.com.tr/ileri-demokraside-meclis-burokratlari-cagirip-bilgi-alma-yetkisi-kalkiyor/ …,8,17
Diken,15-Aug-18,"Rusya, Türk iş insanları ve tır şoförlerine vizeyi kaldırıyor http://www.diken.com.tr/rusya-turk-is-insanlari-ve-tir-soforlerine-vizeyi-kaldiriyor/ …",49,10
Diken,23-Oct-18,60 milyar lira bekleniyordu: ‘İmar barışı’ ve ‘bedelli’den 15 milyar lira gelir elde edilmiş http://www.diken.com.tr/60-milyar-lira-bekleniyordu-imar-barisi-ve-bedelliden-15-milyar-lira-gelir-elde-edilmis/ …,44,23
Diken,7-Dec-17,"Yer İstanbul: Sitelerde ‘açık havuz’ yasak, mescid zorunlu, ‘uygunsuz 1+1’ler sınırlı http://www.diken.com.tr/yer-istanbul-sitelerde-acik-havuz-yasak-mescid-zorunlu-uygunsuz-11ler-sinirli/ …",10,12
Diken,18-Jul-18,İnce’den AKP’li Ünal’a yanıt: CHP liderine kader biçmek kimsenin haddi değil http://www.diken.com.tr/inceden-akpli-unala-yanit-chp-liderine-kader-bicmek-kimsenin-haddi-degil/ …,93,14
Diken,3-Sep,Şimdilik sadece ‘Drum & Bass Fix’ listesinde: Spotify’a ‘DJ geçişi’ özelliği geldi http://www.diken.com.tr/simdilik-sadece-drum-bass-fix-listesinde-spotifya-dj-gecisi-ozelligi-geldi/ …,23,3
Diken,12-Oct-18,"Gıda mühendisi Bülent Şık: İçecekteki şekeri bir litre suya koyun, içemezsiniz SEVGİ KİRAZ'ın söyleşisi http://www.diken.com.tr/gida-muhendisi-bulent-sik-icecekteki-sekeri-bir-litre-suya-koyun-icemezsiniz/ …",49,16
Diken,15-Jul-18,"İtalyan basını: Zengin sığınmacılar, lüks teknelerle Türkiye’den Avrupa’ya geçiyor http://www.diken.com.tr/italyan-basini-zengin-siginmacilar-luks-teknelerle-turkiye-uzerinden-avrupaya-geciyor/ …",27,12
Diken,3-Aug,"YÖK: ‘Hukuk, mühendislik, mimarlık, tıp ve öğretmenlik’te baraj sıraları yükseltildi http://www.diken.com.tr/yok-aciklamasi-hukuk-muhendislik-mimarlik-tip-ve-ogretmenlikte-baraj-siralari-yukseltildi/ …",32,23
Diken,22-Sep-18,Başsavcılık: İntihar eden kişinin pantolon alamaması gibi bir durum söz konusu değil http://www.diken.com.tr/bassavcilik-intihar-eden-kisinin-pantolon-alamamasi-gibi-bir-durum-soz-konusu-degil/ …,17,10
Diken,7-Dec-17,Kılıçdaroğlu’ndan Kudüs tepkisi: Atatürk’ün çocukları olarak Filistin halkının yanındayız http://www.diken.com.tr/kilicdaroglundan-kudus-tepkisi-ataturkun-cocuklari-olarak-filistin-halkinin-yanindayiz/ …,18,5
Diken,13-Sep-18,Borçlarını ödeyemedi: Çankırı’da 1000 işçinin çalıştığı fabrika üretimi durdurdu http://www.diken.com.tr/borclarini-odeyemedi-cankirida-1000-iscinin-calistigi-fabrika-uretimi-durdurdu/ …,48,32
Diken,11-Sep-18,‘Yasama dokunulmazlığı’: Berberoğlu’nun Yargıtay kararına itirazı reddedildi http://www.diken.com.tr/yasama-dokunulmazligi-berberoglunun-yargitay-kararina-itirazi-reddedildi/ …,10,4
Diken,23-Sep-18,Selçuk Şirin: Bir okulda iklimi belirleyen en önemli faktör o okuldaki yöneticidir http://www.diken.com.tr/selcuk-sirin-bir-okulda-iklimi-belirleyen-en-onemli-faktor-o-okuldaki-yoneticidir/ …,18,5
Diken,29-May-18,"Erdoğan'dan İnce'ye 'yerli otomobil' yanıtı: Elon'la konuştum, en ileri teknoloji neyse onu yapacağız http://www.diken.com.tr/erdoganin-istanbul-tanimi-estetiktir-en-nazlisindan-kadindir-kadin/ …",150,35
Diken,24-Oct-18,Yine yeni yeniden: Liseye geçiş sistemi sil baştan http://www.diken.com.tr/yine-yeni-yeniden-liseye-gecis-sistemi-sil-bastan/ …,14,7
Diken,12-Oct-18,Şeker-İş başkanının şahidi Türk-İş başkanı: Arkadaşımız çok üzgün http://www.diken.com.tr/seker-is-baskaninin-sahidi-turk-is-baskani-arkadasimiz-cok-uzgun/ …,14,7
Diken,19-May-18,Yargı tarihinde görülmemiş skandal: Avukatlardan habersiz ‘kumpas’ duruşması http://www.diken.com.tr/yargi-tarihinde-gorulmemis-skandal-avukatlardan-habersiz-kumpas-durusmasi/ …,29,34
Diken,21-Oct-18,"Emre Kongar: Kavala olayı, bu dönemin haksızlık ve hukuksuzluklarının simgesi haline gelmiştir http://www.diken.com.tr/emre-kongar-kavala-olayi-bu-donemin-haksizlik-ve-hukuksuzluklarinin-simgesi-haline-gelmistir/ …",25,4
Diken,24-Dec-18,Osmanlı Ocakları’ndan Portakal’a tehdit: Dişlerini sıkarak bekleyen yüzde 52 var http://www.diken.com.tr/osmanli-ocaklarindan-portakala-tehdit-dislerini-sikarak-bekleyen-yuzde-52-var/ …,105,75
Diken,23-Jul-18,Van’da acil serviste hasta yakınlarından doktora yumruklu saldırı http://www.diken.com.tr/vanda-acil-serviste-hasta-yakinlarindan-doktora-yumruklu-saldiri/ …,4,10
Diken,8-Dec-17,Askeri miğferle darp eden başçavuş: Kafasına nar gelmiş olabilir http://www.diken.com.tr/askeri-migferle-darp-eden-bascavus-kafasina-nar-gelmis-olabilir/ …,27,29
Diken,26-May-18,Eski MB başkanı Durmuş Yılmaz hükümete sordu: OHAL varken döviz düşer mi? http://www.diken.com.tr/eski-mb-baskani-durmus-yilmaz-hukumete-sordu-ohal-varken-doviz-duser-mi/ …,73,41
Diken,22-May-18,1 Haziran’da vizyonda: Nuri Bilge Ceylan’ın yeni filmi ‘Ahlat Ağacı’ndan ilk fragman http://www.diken.com.tr/1-haziranda-vizyonda-nuri-bilge-ceylanin-yeni-filmi-ahlat-agacindan-ilk-fragman/ …,73,18
Diken,21-Jul-18,Kılıçdaroğlu kurultay isteyenlere ilk kez çıkıştı: Birileri koltuk derdinde http://www.diken.com.tr/kilicdaroglu-kurultay-isteyenlere-ilk-kez-cikisti-birileri-koltuk-derdinde/ …,18,7
Diken,4-Sep,Putin’in doğa maceraları devlet kanalında: Vahşi hayvanlar bile ondan korkuyor http://www.diken.com.tr/putinin-doga-maceralari-devlet-kanalinda-vahsi-hayvanlar-bile-ondan-korkuyor/ …,76,14
Diken,6-Jul,Murat Muratoğlu: Türkiye’yi cumhuriyet tarihinin en büyük kazığına oturttular! http://www.diken.com.tr/murat-muratoglu-turkiyeyi-cumhuriyet-tarihinin-en-buyuk-kazigina-oturttular/ …,48,15
Diken,17-Jul-18,"‘Bedelli’ kulisi: Kararname çıkacak, yaş 25, ücret 15 ya da 20 bin lira http://www.diken.com.tr/bedelli-kulisi-kararname-cikacak-yas-25-ucret-15-ya-da-20-bin-lira/ …",15,6
Diken,29-Oct-18,Açılışa dakikalar kala: Rakamlarla İstanbul’un yeni havalimanı http://www.diken.com.tr/acilisa-saatler-kala-rakamlarla-istanbulun-yeni-havalimani/ …,4,0
Diken,4-Aug,"CHP ‘çağrı heyeti’: Beş delege imza verirken üyeydi, kurultay tarihini açıklayın http://www.diken.com.tr/chp-cagri-heyeti-bes-delege-imza-verirken-uyeydi-kurultay-tarihini-aciklayin/ …",33,10
Diken,6-Dec-17,TIME’ın ‘yılın kişisi’ ödülü #MeToo ile tacizi anlatarak ‘sessizliği bozan’ kadınlara http://www.diken.com.tr/timein-yilin-kisisi-odulu-metoo-ile-tacizi-anlatarak-sessizligi-bozan-kadinlara/ …,26,7
Diken,27-Oct-18,5 bin metrekare: Yeni havalimanındaki tek akaryakıt istasyonunu Demirören açacak http://www.diken.com.tr/5-bin-metrekare-yeni-havalimanindaki-tek-akaryakit-istasyonunu-demiroren-acacak/ …,51,43
Diken,5-Sep,İstanbul metrosunda nü tabloya ‘uygunsuz içerik’ yasağı: Gazete kağıdıyla kapatıldı http://www.diken.com.tr/istanbul-metrosunda-nu-tabloya-uygunsuz-icerik-yasagi-gazete-kagidiyla-kapatildi/ …,16,5
Diken,12-Sep-18,İthal hayvanlar kontrol edilemiyor: Bu kez de Kayseri’de şarbon karantinası http://www.diken.com.tr/ithal-hayvanlar-kontrol-edilemiyor-bu-kez-de-kayseride-sarbon-karantinasi/ …,31,21
Diken,12-Sep-18,MİT operasyonu: Reyhanlı katliamının planlayıcısı Suriye’de yakalanıp getirildi http://www.diken.com.tr/mit-operasyonu-reyhanli-katliaminin-planlayicisi-suriyede-yakalandi/ …,9,4
Diken,26-Aug-18,Cengiz adım adım: Fethi Paşa Korusu’ndaki kuruyan ağaçları kesmek için başvuru http://www.diken.com.tr/cengiz-adim-adim-ilerliyor-fethi-pasa-korusundaki-kuruyan-agaclari-kesmek-icin-basvuru/ …,501,449
Diken,19-Jul-18,Dört yılda Oktar’ın kanalı için RTÜK’e 13 bin 313 şikayet gitmiş http://www.diken.com.tr/dort-yilda-oktarin-kanali-icin-rtuke-13-bin-313-sikayet-gitmis/ …,30,4
Diken,7-May,El değiştiren Doğan TV ‘hareketli’: Ankara temsilcisi Hakan Çelik görevden alındı http://www.diken.com.tr/el-degistiren-dogan-tv-hareketli-ankara-temsilcisi-hakan-celik-gorevden-alindi/ …,113,41
Diken,4-Jul,‘FETÖ’den yargılanan eski Bursa valisi Harput tahliye edildi http://www.diken.com.tr/fetoden-yargilanan-eski-bursa-valisi-harput-tahliye-edildi/ …,18,21
Diken,8-May,Sarkisyan’ı sokak protestolarıyla istifa ettiren Paşinyan başbakan seçildi http://www.diken.com.tr/sarkisyani-sokak-protestolariyla-istifa-ettiren-pasinyan-basbakan-secildi/ …,15,8
Diken,10-Aug-18,Alman basını: Erdoğan ekonomik yardım istemek için Berlin’e gelecek http://www.diken.com.tr/alman-basini-erdogan-ekonomik-yardim-istemek-icin-berline-gelecek/ …,59,44
Diken,9-Jul,"Kabinede 24 Haziran’da milletvekili seçilen dört isim yer aldı, dört isim vekillikten istifa edecek",17,0
Diken,7-Sep,"Bitlis’te şarbon vakası: 100’den fazla hayvan öldü, ilçe karantinada http://www.diken.com.tr/bitliste-sarbon-vakasi-81-hayvan-oldu-ilce-karantinada/ …",56,69
Diken,18-May-18,"Tenkisat sürüyor: CNN Türk’te Ebru Baki, Kanal D’de Murat Güloğlu işten çıkarıldı http://www.diken.com.tr/tenkisat-suruyor-cnn-turkte-ebru-baki-kanal-dde-murat-guloglu-isten-cikarildi/ …",103,64
Diken,11-Jul-18,Mezuniyet töreninde pankart açtılar diye: Dört ODTÜ’lü tutuklandı http://www.diken.com.tr/mezuniyet-toreninde-pankart-actilar-diye-dort-odtulu-tutuklandi/ …,108,42
Diken,6-May,"Erdoğan’dan muhalefet lideri gibi vaatler: Tarafsız yargı, demokrasi, düşük cari açık, iş http://www.diken.com.tr/erdogandan-muhalefet-lideri-gibi-vaatler-tarafsiz-yargi-demokrasi-dusuk-cari-acik-is/ …",2.568,944
Diken,2-Jul,"Faruk Bildirici: Bahçeli’nin ilanı, basın ve ifade özgürlüğüne yönelik açık bir tehdittir http://www.diken.com.tr/faruk-bildirici-bahcelinin-ilani-basin-ve-ifade-ozgurlugune-yonelik-acik-bir-tehdittir/ …",18,8
Diken,28-Sep-18,Tofaş’tan sonra Renault vardiya eksiltti: Otomobil üretiminde ‘part time’ dönemi http://www.diken.com.tr/tofastan-sonra-renault-vardiya-eksiltti-otomobil-uretiminde-part-time-donemi/ …,21,23
Diken,8-Aug,"DNA testi sonuçlandı: Sekai Mori, Naim Süleymanoğlu’nun kızıymış http://www.diken.com.tr/dna-testi-sonuclandi-sekai-mori-naim-suleymanoglunun-kiziymis/ …",24,6
Diken,25-Jul-18,Erdoğan’dan yeni sistem tarifi: Her an her şey olabilir http://www.diken.com.tr/erdogandan-yeni-sistem-tarifi-her-an-her-sey-olabilir/ …,51,30
Diken,10-Sep-18,‘Yüzen boğa Ferdinand’la buluşan Haluk Levent: Kızların peşinden ayrılmıyormuş http://www.diken.com.tr/yuzen-boga-ferdinandla-bulusan-haluk-levent-kizlarin-pesinden-ayrilmiyormus/ …,49,6
Diken,18-Sep-18,"Soner Yalçın: Kamu bankalarının yönetimine AKP’lileri doldurup, CHP’ye nasıl laf söylüyorsunuz? http://www.diken.com.tr/soner-yalcin-kamu-bankalarinin-yonetimine-akplileri-doldurup-chpye-nasil-laf-soyluyorsunuz/ …",22,7
Diken,19-Sep-18,"Ahmet Takan: Rusya, Türkiye’nin üzerine terör örgütlerinin hamisi fotoğrafını yapıştırmayı başardı http://www.diken.com.tr/ahmet-takan-rusya-turkiyenin-uzerine-teror-orgutlerinin-hamisi-fotografini-yapistirmayi-basardi/ …",17,10
Diken,8-May,Sarkisyan’ı sokak protestolarıyla istifa ettiren Paşinyan başbakan seçildi http://www.diken.com.tr/sarkisyani-sokak-protestolariyla-istifa-ettiren-pasinyan-basbakan-secildi/ …,46,16
Diken,24-May-18,"İbrahim Kaboğlu: Muhalefete oy, toplumsal barış umudunu beraberinde getirecek http://www.diken.com.tr/ibrahim-kaboglu-muhalefete-oy-toplumsal-baris-umudunu-beraberinde-getirecek/ …",27,5
Diken,23-May-18,226 yıllık New York borsasına ilk kez kadın başkan: Stacey Cunningham http://www.diken.com.tr/226-yillik-new-york-borsasina-ilk-kez-kadin-baskan-stacey-cunningham/ …,21,5
Diken,11-Jul-18,Yeni sistem: Diyanet eğitim kurumlarına manevi danışmanlık verebilecek http://www.diken.com.tr/yeni-sistem-diyanet-egitim-kurumlarina-manevi-danismanlik-verebilecek/ …,17,7
Diken,5-Dec-17,İstanbul’a mevsimin ilk karı düştü http://www.diken.com.tr/istanbula-mevsimin-ilk-kari-dustu/ …,10,0
Diken,26-Jul-18,"Yoksuluz: Türk-İş araştırmasına göre yoksulluk sınırı, geçen yıla nazaran 800 lira yükseldi http://www.diken.com.tr/yoksuluz-turk-is-arastirmasina-gore-yoksulluk-siniri-gecen-yila-gore-800-lira-artti/ …",30,25
Diken,3-Oct,"Murat Belge: Topladığı bilgiyi gazetede yayımlayan bir casus, casusluk tarihinde görülmemiştir http://www.diken.com.tr/murat-belge-topladigi-bilgiyi-gazetede-yayimlayan-bir-casus-casusluk-tarihinde-gorulmemistir/ …",27,10
Diken,16-Oct-18,Okmeydanı’nda kaza: Metrobüs seferleri durduruldu http://www.diken.com.tr/okmeydaninda-kaza-metrobus-seferleri-durduruldu/ …,7,4
Diken,13-May-18,Facianın dördüncü yılı: Aileler yaşlı gözlerle madenci şehitliğinde… http://www.diken.com.tr/facianin-dorduncu-yili-aileler-yasli-gozlerle-madenci-sehitliginde/ …,46,6
Diken,4-Aug,"Ekonomist görüşü: Çin, Türkiye’ye para vererek risk almak istemeyecektir http://www.diken.com.tr/ekonomist-gorusu-cin-turkiyeye-para-vererek-risk-almak-istemeyecektir/ …",15,9
Diken,21-Aug-18,Sekiz yıl sonra: Yunanistan ekonomik krizden çıkış programını tamamladı http://www.diken.com.tr/sekiz-yil-sonra-yunanistan-ekonomik-krizden-cikis-programini-tamamladi/ …,14,5
Diken,7-Dec-17,"Yunan cumhurbaşkanından Erdoğan’a: Benim sizin gibi yetkilerim yok, bu meseleleri hükümetle konuşursunuz http://www.diken.com.tr/erdoganin-atina-ziyareti-lozan-polemigiyle-basladi/ …",118,54
Diken,14-Aug-18,MHP ‘hamleyi’ yaptı: Partinin döviz hesapları Türk Lirası’na çevrildi http://www.diken.com.tr/mhp-hamleyi-yapti-partinin-doviz-hesaplari-turk-lirasina-cevrildi/ …,89,30
Diken,28-Aug-18,"İYİ Parti’nin ‘yerel seçim’ kararı: İttifak yok, kendi adaylarımızla gireceğiz http://www.diken.com.tr/iyi-partinin-yerel-secim-karari-ittifak-yok-kendi-adaylarimizla-girecegiz/ …",24,4
Diken,26-Aug-18,Yeğenini 11 yıl istismar ettiği öne sürülen amca tutuklandı http://www.diken.com.tr/yegenini-11-yil-istismar-ettigi-one-surulen-amca-tutuklandi/ …,14,4
Diken,24-May-18,Danıştay başkanının dünürü AKP’den milletvekili adayı http://www.diken.com.tr/danistay-baskaninin-dunuru-akpden-milletvekili-adayi/ …,66,57
Diken,29-Jul-18,Murat Bardakçı: Kılıçdaroğlu hayal kırıklıklarından biri ve mağluplar resmigeçidinin son figürü oldu! http://www.diken.com.tr/murat-bardakci-kilicdaroglu-hayal-kirikliklarindan-biri-ve-magluplar-resmigecidinin-son-figuru-oldu/ …,7,3
Diken,5-May,"Eski sevgililer yine devrede: Demirtaş, herkesin ikna edilmesini istedi http://www.diken.com.tr/eski-sevgililer-yine-devrede-demirtas-herkesin-ikna-edilmesini-istedi/ …",61,15
Diken,18-May-18,Ölen İngiliz YPG savaşçısının ailesinden Türkiye’ye çağrı: Kızımızın cenazesini verin http://www.diken.com.tr/olen-ingiliz-ypg-savascisinin-ailesinden-turkiyeye-cagri-kizimizin-cenazesini-verin/ …,27,7
Diken,6-Dec-17,VİDEO | 323 gün sonra özgür kalan Öğreten: Gazetecilik hala hapiste http://www.diken.com.tr/323-gun-sonra-ozgur-kalan-ogreten-gazetecilik-hala-hapiste/ …,60,24
Diken,17-Aug-18,Türkiye-ABD krizinde cevapsız kalan sorular AMBERİN ZAMAN yazdı (@amberinzaman) http://www.diken.com.tr/turkiye-abd-krizinde-cevapsiz-kalan-sorular/ …,63,41
Diken,3-Oct,"Sanal, gerçekle buluşursa: Tezgahta takipçi ve beğeni satışı http://www.diken.com.tr/sanal-gercekle-bulusursa-bir-yurttas-tezgahta-sosyal-medya-takipcisi-ve-begeni-satiyor/ …",20,9
Diken,22-May-18,‘Erdoğan’ın kapısında temizlikçilik yapma’ya hazır AKP’li başkan ilk sıradan aday http://www.diken.com.tr/erdoganin-kapisinda-temizlikcilik-yapmaya-hazir-akpli-baskan-ilk-siradan-aday/ …,25,15
Diken,4-Dec-17,Sarraf’ın çırpınışları: Büyükelçi beni de yanında götürsün http://www.diken.com.tr/sarrafin-cirpinislari-buyukelci-beni-de-yaninda-gotursun/ …,13,7
Diken,10-Sep-18,Kılıçdaroğlu’ndan ‘ejder meyveli smoothie’ yorumu: ‘Ayranı yok içmeye…’ http://www.diken.com.tr/kilicdaroglundan-ejder-meyveli-smoothie-yorumu-ayrani-yok-icmeye/ …,15,3
Diken,17-Jul-18,’15 Temmuz’ gerekçesiyle konseri kesilen müzisyen Ediz Hafızoğlu: Ülkeyi çukurun içine attılar http://www.diken.com.tr/15-temmuz-gerekcesiyle-konseri-kesilen-muzisyen-ediz-hafizoglu-ulkeyi-cukurun-icine-attilar/ …,19,3
Diken,19-May-18,"Akif Beki: E hani yeni FETÖ’lerin çıkmaması, bu bilincin halka yerleştirilmesine bağlıydı? http://www.diken.com.tr/akif-beki-e-hani-yeni-fetolerin-cikmamasi-bu-bilincin-halka-yerlestirilmesine-bagliydi/ … …",33,21
Diken,6-Jul,Tayland’dan trajik haber: Çocukları kurtarmaya çalışan deneyimli dalgıç hayatını kaybetti http://www.diken.com.tr/taylanddan-trajik-haber-cocuklari-kurtarmaya-calisan-deneyimli-dalgic-hayatini-kaybetti/ …,12,5
Diken,15-Aug-18,Kalacak yeri yoktu: Manisa’da cilt kanseri tedavisi gören adam hastane bahçesinde ölü bulundu http://www.diken.com.tr/kalacak-yeri-yoktu-manisada-cilt-kanseri-tedavisi-goren-adam-hastane-bahcesinde-olu-bulundu/ …,86,58
Diken,24-Oct-18,"Ege Cansen: IMF ile anlaşma yoluna gidilseydi, ödenecek faiz bunun yarısı olurdu http://www.diken.com.tr/ege-cansen-imf-ile-anlasma-yoluna-gidilseydi-odenecek-faiz-bunun-yarisi-olurdu/ …",11,5
Diken,4-Sep,Fitch’ten Türkiye’ye: 2020’ye kadar tek haneli enflasyonu unutun http://www.diken.com.tr/fitchten-turkiyeye-2020ye-kadar-tek-haneli-enflasyonu-unutun/ …,33,31
